Country,Year,GDP per Capita ($),Population,Education Spending(%),Healthcare Spending($),Literacy(%),Life Expectancy,Fertility Rate,Infant Mortality Rate,Unemployment(%),Youth Unemployment(%)
Democratic Republic Of Congo,2022,665.0,99010212.0,18.41,0.0,80.54,60.0,6.106,60.1,4.59,8.65
Denmark,2019,59593.0,5814422.0,12.74,6059.0,,81.0,1.7,3.3,5.02,10.04
Denmark,2020,60837.0,5831404.0,11.92,6442.0,,82.0,1.68,3.2,5.64,11.58
Denmark,2021,69269.0,5856733.0,11.89,7382.0,,81.0,1.72,3.1,5.04,10.8
Denmark,2022,67790.0,5903037.0,0.0,6332.0,,81.0,1.55,3.1,4.43,10.54
Djibouti,2019,2876.0,1073994.0,0.0,62.0,,63.0,2.891,48.3,26.25,75.53
Djibouti,2020,2922.0,1090156.0,0.0,63.0,,63.0,2.848,46.8,27.65,81.29
Djibouti,2021,3063.0,1105557.0,0.0,88.0,,62.0,2.804,45.5,27.55,78.96
Djibouti,2022,3278.0,1120849.0,0.0,0.0,,63.0,2.757,44.1,26.37,76.4
Dominica,2019,8562.0,71428.0,8.3,443.0,,74.0,1.611,28.9,,
Dominica,2020,7003.0,71995.0,10.67,420.0,,74.0,1.597,29.6,,
Dominica,2021,7668.0,72412.0,7.77,482.0,,73.0,1.595,30.3,,
Dominica,2022,8347.0,72737.0,6.41,0.0,,73.0,1.588,30.8,,
Dominican Republic,2019,8173.0,10881882.0,20.01,347.0,0.0,74.0,2.344,28.4,6.36,15.89
Dominican Republic,2020,7168.0,10999664.0,20.63,354.0,0.0,73.0,2.303,27.9,6.13,14.81
Dominican Republic,2021,8477.0,11117873.0,19.59,417.0,0.0,73.0,2.273,27.4,7.7,16.92
Dominican Republic,2022,10111.0,11228821.0,22.36,0.0,95.5,74.0,2.247,26.8,5.5,12.89
Ecuador,2019,6204.0,17343740.0,10.67,484.0,0.0,77.0,2.088,11.6,3.81,8.75
Ecuador,2020,5450.0,17588595.0,10.59,472.0,93.63,72.0,2.051,11.2,6.13,11.09
Ecuador,2021,6036.0,17797737.0,9.76,494.0,94.48,74.0,2.026,10.8,4.55,9.24
Ecuador,2022,6477.0,18001000.0,9.27,0.0,93.95,78.0,2.003,10.5,3.76,8.41
Egypt,2019,3017.0,105618671.0,,145.0,0.0,71.0,3.001,17.2,7.85,20.71
Egypt,2020,3572.0,107465134.0,,151.0,0.0,71.0,2.96,16.6,7.97,18.54
Egypt,2021,3887.0,109262178.0,,180.0,0.0,70.0,2.917,16.0,7.44,18.31
Egypt,2022,4295.0,110990103.0,,0.0,74.5,70.0,2.878,15.5,7.34,19.02
El Salvador,2019,4280.0,6280217.0,14.33,377.0,89.14,73.0,1.838,11.3,4.17,9.62
El Salvador,2020,3960.0,6292731.0,11.87,354.0,89.98,71.0,1.819,11.0,5.01,11.1
El Salvador,2021,4600.0,6314167.0,11.96,442.0,0.0,71.0,1.803,10.6,4.33,9.82
El Salvador,2022,5048.0,6336392.0,0.0,0.0,0.0,71.0,1.785,10.2,3.0,7.5
Equatorial Guinea,2019,7317.0,1553031.0,,232.0,,62.0,4.429,60.1,8.37,16.0
Equatorial Guinea,2020,6199.0,1596049.0,,247.0,,61.0,4.346,58.4,9.08,17.99
Equatorial Guinea,2021,7474.0,1634466.0,,256.0,,61.0,4.266,56.7,9.19,17.58
Equatorial Guinea,2022,8052.0,1674908.0,,0.0,,61.0,4.17,55.1,8.75,16.51
Eritrea,2019,,3498818.0,,26.0,0.0,67.0,3.997,30.5,5.79,9.9
Eritrea,2020,,3555868.0,,25.0,0.0,67.0,3.933,29.7,6.31,11.0
Eritrea,2021,,3620312.0,,25.0,0.0,67.0,3.867,28.9,6.34,10.83
Eritrea,2022,,3684032.0,,0.0,0.0,67.0,3.786,28.0,5.94,10.1
Estonia,2019,23582.0,1326898.0,15.53,1599.0,0.0,79.0,1.66,1.8,4.51,11.58
Estonia,2020,23565.0,1329522.0,14.28,1789.0,0.0,79.0,1.58,1.7,6.96,18.37
Estonia,2021,27698.0,1330932.0,14.25,2095.0,99.87,77.0,1.61,1.5,6.18,16.63
Estonia,2022,28114.0,1348840.0,0.0,1986.0,0.0,78.0,1.41,1.5,5.57,18.41
Eswatini,2019,3843.0,1169613.0,18.51,275.0,0.0,61.0,2.921,43.0,29.05,54.28
Eswatini,2020,3373.0,1180655.0,15.89,223.0,89.28,60.0,2.89,43.4,34.23,62.77
Eswatini,2021,4069.0,1192271.0,15.34,280.0,0.0,57.0,2.839,40.8,35.71,61.82
Eswatini,2022,3987.0,1201670.0,16.62,0.0,0.0,56.0,2.785,39.7,37.85,65.34
Ethiopia,2019,840.0,114120594.0,20.92,26.0,,66.0,4.323,37.3,2.95,4.74
Ethiopia,2020,919.0,117190911.0,22.45,29.0,,65.0,4.243,36.1,4.02,6.25
Ethiopia,2021,925.0,120283026.0,23.56,26.0,,65.0,4.159,35.0,3.94,6.14
Ethiopia,2022,1027.0,123379924.0,23.01,0.0,,66.0,4.063,33.9,3.49,5.56
Faroe Islands,2019,63204.0,51681.0,,,,83.0,2.409,,,
Faroe Islands,2020,62235.0,52415.0,,,,83.0,2.324,,,
Faroe Islands,2021,69108.0,52889.0,,,,83.0,2.316,,,
Faroe Islands,2022,66979.0,53090.0,,,,83.0,2.05,,,
Fiji,2019,5928.0,918465.0,14.05,254.0,,68.0,2.519,21.6,4.38,15.57
Fiji,2020,4816.0,920422.0,16.39,232.0,,68.0,2.495,22.6,4.62,16.97
Fiji,2021,4656.0,924610.0,14.46,250.0,,67.0,2.475,23.3,4.68,16.63
Fiji,2022,5356.0,929766.0,0.0,0.0,,68.0,2.462,23.6,4.48,15.7
Finland,2019,48630.0,5521606.0,10.52,4460.0,,82.0,1.35,1.9,6.7,17.1
